username,email,full_name,phone
JohnMarly,john@tusome.com,John Marky,0708954623
Jane,jane@tusome.com,Jane Moo,0708954600
RenolMe,renol@tusome.com,Renol Me,0708004623
PeterK,peter@tusome.com,Peter Kilonzo,0708112233
MaryA,mary@tusome.com,Mary Atieno,0708123456
SamuelN,samuel@tusome.com,Samuel Njoroge,0708234567
GraceW,grace@tusome.com,Grace Wanjiru,0708345678
PaulO,paul@tusome.com,Paul Otieno,0708456789
LucyM,lucy@tusome.com,Lucy Mutheu,0708567890
DanielK,daniel@tusome.com,Daniel Kiptoo,0708678901
AnnC,ann@tusome.com,Ann Chebet,0708789012
BrianM,brian@tusome.com,Brian Mwangi,0708890123
CynthiaL,cynthia@tusome.com,Cynthia Limo,0708901234
JosephR,joseph@tusome.com,Joseph Rono,0708012345
NancyT,nancy@tusome.com,Nancy Tuiyott,0708123987
DavidS,david@tusome.com,David Sifuna,0708234987
EstherP,esther@tusome.com,Esther Peris,0708345987
MichaelB,michael@tusome.com,Michael Barasa,0708456987
SusanJ,susan@tusome.com,Susan Jepkemoi,0708567987
KevinH,kevin@tusome.com,Kevin Hassan,0708678987
AliceD,alice@tusome.com,Alice Damaris,0708789987
GeorgeL,george@tusome.com,George Lutta,0708891987
RebeccaN,rebecca@tusome.com,Rebecca Naliaka,0708902987
AndrewK,andrew@tusome.com,Andrew Kibet,0708013987
JanetO,janet@tusome.com,Janet Obiero,0708124987
MartinE,martin@tusome.com,Martin Echesa,0708235987
HellenS,hellen@tusome.com,Hellen Sigei,0708346987
PatrickM,patrick@tusome.com,Patrick Mumo,0708457987
FlorenceA,florence@tusome.com,Florence Anyango,0708568987
DennisW,dennis@tusome.com,Dennis Wafula,0708679987
IreneK,irene@tusome.com,Irene Karimi,0708781987
VictorC,victor@tusome.com,Victor Cheruiyot,0708892987
AgnesJ,agnes@tusome.com,Agnes Jepkoech,0708903987
SimonP,simon@tusome.com,Simon Pius,0708014987
RoseM,rose@tusome.com,Rose Muthoni,0708125987
ElijahT,elijah@tusome.com,Elijah Tanui,0708236987
MercyO,mercy@tusome.com,Mercy Odhiambo,0708347987
HenryN,henry@tusome.com,Henry Ndungu,0708458987
LilianB,lilian@tusome.com,Lilian Boit,0708569987
CalebS,caleb@tusome.com,Caleb Sang,0708671987
BeatriceK,beatrice@tusome.com,Beatrice Karanja,0708782987
AllanM,allan@tusome.com,Allan Mutiso,0708893987
JoyceL,joyce@tusome.com,Joyce Lorna,0708904987
FelixR,felix@tusome.com,Felix Rotich,0708015987
MonicaA,monica@tusome.com,Monica Achieng,0708126987
OscarW,oscar@tusome.com,Oscar Wekesa,0708237987
NaomiC,naomi@tusome.com,Naomi Chepngeno,0708348987
IsaacK,isaac@tusome.com,Isaac Kiplimo,0708459987
FaithM,faith@tusome.com,Faith Mumbi,0708561987
