admission_number,full_name,parent_email,class_name,date_of_birth
A002618791,SHAKOMBO HASSAN,parent1@example.com,7 GREEN,2012-05-15
A002765850,MELKI CHEGE,parent1@example.com,7 GREEN,2012-08-22
B002371898,OCHOLLA IAN,parent2@example.com,7 GREEN,2012-03-10
B002617909,BWANAAMRI OMAR,parent2@example.com,7 GREEN,2012-11-03
B002831319,RYAN PIUS,parent3@example.com,7 GREEN,2012-07-18
B002831336,MWANARUSI ERICK,parent3@example.com,7 GREEN,2012-09-25
B002831358,ANGEL ORACHA,parent4@example.com,7 GREEN,2012-04-12
B002831365,BINTI KULTHUM,parent4@example.com,7 GREEN,2012-10-08
B002831295,MWIJUMA ALI,parent5@example.com,7 GREEN,2012-01-20
B002871382,BLESSING ALESI,parent5@example.com,7 GREEN,2012-06-30
B002888044,MARIAM MWAJAA,parent6@example.com,7 GREEN,2012-12-15
B002912926,RAHMA DAUDI,parent6@example.com,7 GREEN,2012-02-28
B002913556,ATHUMAN NYAWA,parent7@example.com,7 GREEN,2012-09-05
B002913730,MAIMUNA MOHAMED,parent7@example.com,7 GREEN,2012-03-17
B002913912,MEALII ABDALLAH,parent8@example.com,7 GREEN,2012-07-22
B002932137,SHARIFF YUNUS,parent8@example.com,7 GREEN,2012-11-11
B002932530,NGALA SAHA,parent9@example.com,7 GREEN,2012-04-05
B002932666,RIZIKI MOHAMMED,parent9@example.com,7 GREEN,2012-08-19
B003200141,LYDIA MWIKALI MUTHYA,parent10@example.com,7 GREEN,2012-01-10
B002950905,ANTONY BAYA,parent10@example.com,7 GREEN,2012-10-25
B002950949,FLORENCE MBOYA,parent11@example.com,7 GREEN,2012-05-08
B002989048,NASRA HASSAN,parent11@example.com,7 GREEN,2012-12-03
B002989566,BILALI BUKI SIRI,parent12@example.com,7 GREEN,2012-02-14
JUMA NASSOR,parent12@example.com,7 GREEN,2012-06-20
B003035851,SALIM MWAKULO,parent13@example.com,7 GREEN,2012-09-30
B003218680,DENNIS WANJOHI,parent13@example.com,7 GREEN,2012-03-12
